  Iteration information for myTAO_ solve.
387 TAO,  Function value: 0.020687,  Residual: 2.2879e-06 
388 TAO,  Function value: 0.020687,  Residual: 2.41053e-06 
389 TAO,  Function value: 0.020687,  Residual: 2.3338e-06 
390 TAO,  Function value: 0.020687,  Residual: 2.32097e-06 
391 TAO,  Function value: 0.020687,  Residual: 2.33926e-06 
392 TAO,  Function value: 0.0206869,  Residual: 2.44877e-06 
393 TAO,  Function value: 0.0206869,  Residual: 2.43118e-06 
394 TAO,  Function value: 0.0206869,  Residual: 2.39769e-06 
395 TAO,  Function value: 0.0206868,  Residual: 2.38605e-06 
396 TAO,  Function value: 0.0206868,  Residual: 2.44363e-06 
397 TAO,  Function value: 0.0206868,  Residual: 2.36933e-06 
398 TAO,  Function value: 0.0206868,  Residual: 2.32911e-06 
399 TAO,  Function value: 0.0206867,  Residual: 2.30744e-06 
400 TAO,  Function value: 0.0206867,  Residual: 2.37351e-06 
401 TAO,  Function value: 0.0206867,  Residual: 2.31345e-06 
402 TAO,  Function value: 0.0206867,  Residual: 2.31142e-06 
403 TAO,  Function value: 0.0206866,  Residual: 2.33954e-06 
404 TAO,  Function value: 0.0206866,  Residual: 2.43842e-06 
405 TAO,  Function value: 0.0206866,  Residual: 2.30498e-06 
406 TAO,  Function value: 0.0206865,  Residual: 2.25862e-06 
407 TAO,  Function value: 0.0206865,  Residual: 2.28301e-06 
408 TAO,  Function value: 0.0206865,  Residual: 2.26005e-06 
409 TAO,  Function value: 0.0206865,  Residual: 2.2555e-06 
410 TAO,  Function value: 0.0206865,  Residual: 2.25793e-06 
411 TAO,  Function value: 0.0206865,  Residual: 2.24031e-06 
412 TAO,  Function value: 0.0206865,  Residual: 2.21434e-06 
413 TAO,  Function value: 0.0206864,  Residual: 2.13791e-06 
414 TAO,  Function value: 0.0206864,  Residual: 2.09115e-06 
415 TAO,  Function value: 0.0206864,  Residual: 2.02696e-06 
416 TAO,  Function value: 0.0206864,  Residual: 1.99232e-06 
417 TAO,  Function value: 0.0206864,  Residual: 1.96254e-06 
418 TAO,  Function value: 0.0206864,  Residual: 1.94798e-06 
419 TAO,  Function value: 0.0206864,  Residual: 1.90686e-06 
420 TAO,  Function value: 0.0206864,  Residual: 1.86765e-06 
421 TAO,  Function value: 0.0206863,  Residual: 1.85118e-06 
